config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.7744533947065593,0.5369129445405376,0.026248915307223796,0.0693415567278862,2.1711923337082544,231.06557780895756
w/o_spectral,0.7873417721518987,,,0.09551343247294426,,
w/o_temporal,0.6418872266973533,,,0.043946240469813345,,
w/o_fusion,0.7761795166858458,,,0.05593927577137947,1.2462076992882172,
w/o_dynamic_gating,0.7792865362485616,0.5270939465129868,0.024805052671581507,0.16917163953185083,1.732888667177137,235.28793770084067
w/o_gating,0.7815880322209436,0.5752854339272473,0.019888534862548112,,2.270266282629874,260.56564912882783
full_r1,0.7762945914844649,0.5706309423667293,0.021893804660066962,0.06286008656024933,0.38341610371500956,89.70047214941023
full_r3_stft,0.783199079401611,0.5424818221020355,0.04210089985281229,0.07551790773868561,2.1981207815872037,519.8076683083028
full_r3_sinc,0.7869965477560414,0.36304240228065104,0.009978559007868171,0.09498101249337196,4.991798721256053,49.05650691365136
full_r1_r3,0.7834292289988494,0.6099596666490236,0.03331064004451036,0.07613056153059006,0.8961260888117906,212.45620979780387
full_r2,0.7743383199079402,0.6739146824178233,0.009023675974458457,0.07008518725633621,2.0556623731181536,251.36696851503152
full_r2_gumbel,0.7826237054085154,0.4279019599314166,0.016259281896054745,0.07081841081380844,1.9696587687841602,275.97440557615266
full_r4_sparsemax,0.7808975834292291,0.35761420630709595,0.04271651580929756,0.006046273233368993,2.2886072691994115,157.42427027912927
full_r4_entmax,0.778826237054085,0.27631259465810487,0.03603859422728419,0.003163447231054306,1.556297431377453,135.44676870616533
full_r4_lstm,0.7797468354430379,0.5236259101484173,0.02903651408851147,0.7653674423694611,2.079463610482852,261.1864182909427
full_r1_r2_r3,0.7799769850402762,0.5569550297927712,0.017280011158436536,0.10317342057824135,0.7587007391842989,222.11789121929775
full_all,0.778711162255466,0.5961613368484023,0.013717877864837646,0.7256557524204255,0.8566331626105084,130.77541221437014
r1_w/o_spectral,0.7874568469505179,,,0.1084812194108963,,
full_fixed_global,0.7772151898734176,0.9543217871135516,0.0,0.0595502533018589,1.6693117613316772,
full_fixed_class,0.8710011507479862,0.8235763243570229,0.0,0.07843482494354248,0.6553908328665264,
