config,metric,42,43,44,45,46,47,48,49,50,51,Mean ± SD
full,Acc,99.29,99.38,99.03,99.12,99.12,99.38,99.12,98.59,99.29,99.91,99.22 ± 0.33
full,F1,99.29,99.38,99.02,99.11,99.11,99.38,99.12,98.58,99.29,99.91,99.22 ± 0.34
w/o_spectral,Acc,99.82,99.91,99.91,99.91,99.74,100.0,99.82,99.82,99.91,100.0,99.89 ± 0.08
w/o_spectral,F1,99.82,99.91,99.91,99.91,99.74,100.0,99.82,99.82,99.91,100.0,99.89 ± 0.08
w/o_temporal,Acc,90.56,91.71,91.36,90.74,90.48,90.74,90.74,91.01,91.45,91.09,90.99 ± 0.41
w/o_temporal,F1,90.32,91.82,91.14,90.31,90.1,90.47,90.97,91.17,91.61,91.03,90.89 ± 0.58
w/o_fusion,Acc,99.47,99.56,99.29,99.21,99.38,99.12,99.56,99.38,99.82,99.38,99.42 ± 0.20
w/o_fusion,F1,99.47,99.56,99.3,99.21,99.38,99.12,99.56,99.38,99.82,99.38,99.42 ± 0.20
w/o_gating,Acc,99.56,99.47,99.56,99.38,99.12,100.0,99.38,99.74,99.38,99.38,99.50 ± 0.24
w/o_gating,F1,99.56,99.47,99.56,99.38,99.12,100.0,99.38,99.74,99.38,99.38,99.50 ± 0.24
tsnet_vanilla,Acc,99.91,99.82,99.91,99.47,99.91,100.0,99.82,99.91,99.91,99.91,99.86 ± 0.15
tsnet_vanilla,F1,99.91,99.82,99.91,99.47,99.91,100.0,99.82,99.91,99.91,99.91,99.86 ± 0.14
